78.8274 	EXP 	page: autoDraw = True
78.8442 	EXP 	page: autoDraw = True
78.8607 	EXP 	page: autoDraw = True
78.8763 	EXP 	page: autoDraw = True
78.9271 	EXP 	page: autoDraw = True
78.9433 	EXP 	page: autoDraw = True
78.9600 	EXP 	page: autoDraw = True
78.9776 	EXP 	page: autoDraw = True
79.0255 	EXP 	page: autoDraw = True
79.0439 	EXP 	page: autoDraw = True
79.0610 	EXP 	page: autoDraw = True
79.0785 	EXP 	page: autoDraw = True
79.0961 	EXP 	page: autoDraw = True
79.1443 	EXP 	page: autoDraw = True
79.1612 	EXP 	page: autoDraw = True
79.1785 	EXP 	page: autoDraw = True
79.1950 	EXP 	page: autoDraw = True
79.2129 	EXP 	page: autoDraw = True
79.2609 	EXP 	page: autoDraw = True
79.2818 	EXP 	page: autoDraw = True
79.3109 	EXP 	page: autoDraw = True
79.3280 	EXP 	page: autoDraw = True
79.3801 	EXP 	page: autoDraw = True
79.3964 	EXP 	page: autoDraw = True
79.4126 	EXP 	page: autoDraw = True
79.4293 	EXP 	page: autoDraw = True
79.4458 	EXP 	page: autoDraw = True
79.4968 	EXP 	page: autoDraw = True
79.5126 	EXP 	page: autoDraw = True
79.5288 	EXP 	page: autoDraw = True
79.5464 	EXP 	page: autoDraw = True
79.5619 	EXP 	page: autoDraw = True
79.6096 	EXP 	page: autoDraw = True
79.6266 	EXP 	page: autoDraw = True
79.6431 	EXP 	page: autoDraw = True
79.6611 	EXP 	page: autoDraw = True
79.6770 	EXP 	page: autoDraw = True
79.7271 	EXP 	page: autoDraw = True
79.7446 	EXP 	page: autoDraw = True
79.7607 	EXP 	page: autoDraw = True
79.7769 	EXP 	page: autoDraw = True
79.7931 	EXP 	page: autoDraw = True
79.8438 	EXP 	page: autoDraw = True
